team name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time behind ball;time behind ball per game;time in front of ball;time in front of ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
JUNGLE JUICERS!;29;12;41.38;29372;1012.83;63;2.17;48;1.66;103;3.55;258;8.9;215;7.41;77;2.66;24.42;1341.1;143.76;229192;7903.17;156532;5397.66;72660;2505.52;1870;64.48;6395;220.52;55840;1925.52;32434;1118.41;23406;807.1;375;12.93;2078;71.66;4126.7;142.3;2303.33;79.43;27826;959.52;29000;1000;4641;160.03;47440676;1635885.38;12224.44;421.53;12577.16;433.7;6280.14;216.56;16511;569.34;12674.68;437.06;1895.96;65.38;651.82;22.48;0;5959;205.48;22034.2;759.8;9047.48;311.98;19168.53;660.98;11913.11;410.8;13938.4;480.63;10181.6;351.09;6961.72;240.06;8617.52;8223.52;8956.83;109;3.76;129;4.45
VIPERR;8;2;25.00;9260;1157.5;21;2.62;12;1.5;45;5.62;63;7.88;85;10.62;26;3.25;33.33;1249.62;142.71;61162;7645.25;43035;5379.38;18127;2265.88;523;65.38;1573;196.62;13530;1691.25;7937;992.12;5593;699.12;92;11.5;485;60.62;1136.24;142.03;800.16;100.02;7754;969.25;8371;1046.38;955;119.38;13115727;1639465.88;3735.09;466.89;3581.51;447.69;1528.42;191.05;4847.03;605.88;3489.98;436.25;507.97;63.5;204.37;25.55;0;2092;261.5;6094.65;761.83;2750.36;343.79;5792.96;724.12;3052.06;381.51;4356.44;544.56;2707.29;338.41;1781.31;222.66;8344.38;8012.12;8582.38;30;3.75;29;3.62
SOUTHWEST SIDE;15;5;33.33;15254;1016.93;32;2.13;12;0.8;75;5;96;6.4;144;9.6;48;3.2;33.33;1345.27;140.27;117264;7817.6;78567;5237.8;38697;2579.8;959;63.93;3114;207.6;23047;1536.47;12494;832.93;10553;703.53;147;9.8;866;57.73;2177.45;145.16;1431.55;95.44;22959;1530.6;16016;1067.73;2233;148.87;24444492;1629632.75;6195.84;413.06;6250.68;416.71;3518.78;234.59;8660.5;577.37;6379.49;425.3;925.35;61.69;258.73;17.25;0;3187;212.47;11414.19;760.95;4551.15;303.41;10551.67;703.44;5413.6;360.91;7926.48;528.43;4879.89;325.33;3158.98;210.6;8198.13;7725.8;8667.87;54;3.6;61;4.07
UHUH;7;1;14.29;6752;964.57;8;1.14;7;1;36;5.14;41;5.86;70;10;24;3.43;19.51;1270.29;144.66;55878;7982.57;37570;5367.14;18308;2615.43;449;64.14;1620;231.43;10949;1564.14;6107;872.43;4842;691.71;71;10.14;428;61.14;1062.04;151.72;710.67;101.52;8412;1201.71;7335;1047.86;961;137.29;11742692;1677527.38;3538.36;505.48;3145.88;449.41;1317.61;188.23;4530.75;647.25;3042.03;434.58;429.03;61.29;166.67;23.81;0;1671;238.71;5489.65;784.24;2512.17;358.88;5407.78;772.54;2594.01;370.57;4088.62;584.09;2462.52;351.79;1450.69;207.24;8615.71;8184;8932.43;29;4.14;31;4.43
MACHI'S MINIONS;2;0;0.00;2131;1065.5;6;3;4;2;7;3.5;16;8;16;8;9;4.5;37.5;1301;149.9;15788;7894;11053;5526.5;4735;2367.5;129;64.5;415;207.5;3326;1663;1941;970.5;1385;692.5;23;11.5;116;58;302.96;151.48;198.12;99.06;2267;1133.5;2001;1000.5;377;188.5;3171299;1585649.5;1024.96;512.48;831.48;415.74;377.47;188.74;1242.89;621.45;867.02;433.51;123.99;61.99;43.8;21.9;0;470;235;1543.74;771.87;690.16;345.08;1510.28;755.14;723.63;361.82;1131.24;565.62;691.53;345.77;411.15;205.57;8589;8322.5;8905.5;7;3.5;7;3.5
OVERLOOKED;11;4;36.36;12117;1101.55;27;2.45;27;2.45;45;4.09;88;8;100;9.09;38;3.45;30.68;1230.64;132.15;79314;7210.36;53597;4872.45;25717;2337.91;610;55.45;2273;206.64;16300;1481.82;8863;805.73;7437;676.09;98;8.91;663;60.27;1750.63;159.15;761.92;69.27;9792;890.18;7265;660.45;843;76.64;17291840;1571985.5;5363.48;487.59;4680.31;425.48;1913.3;173.94;6454.1;586.74;4821.26;438.3;681.74;61.98;223.67;20.33;0;2147;195.18;8468.04;769.82;3489.05;317.19;7872.18;715.65;4084.92;371.36;5767.9;524.35;3845.72;349.61;2343.48;213.04;8784.09;8473.36;9027.18;28;2.55;50;4.55
ROUNDS;35;16;45.71;41555;1187.29;94;2.69;64;1.83;184;5.26;279;7.97;334;9.54;98;2.8;33.69;1240.26;153.07;262648;7504.23;174296;4979.89;88352;2524.34;2091;59.74;7798;222.8;53801;1537.17;28725;820.71;25076;716.46;345;9.86;2193;62.66;4187.7;119.65;3429.05;97.97;35708;1020.23;35027;1000.77;5688;162.51;55695652;1591304.38;17067.75;487.65;15371.44;439.18;5967.04;170.49;21934.01;626.69;14311.87;408.91;2160.36;61.72;698.03;19.94;0;6638;189.66;28172.08;804.92;10234.16;292.4;25832.39;738.07;12573.79;359.25;19296.73;551.34;12094.11;345.55;7015.44;200.44;8451.06;8053.57;8771.51;121;3.46;147;4.2
ROUNDS;3;0;0.00;2890;963.33;3;1;3;1;18;6;11;3.67;35;11.67;11;3.67;27.27;1112;146.79;19034;6344.67;12655;4218.33;6379;2126.33;158;52.67;570;190;2489;829.67;1132;377.33;1357;452.33;13;4.33;121;40.33;288.89;96.3;224.15;74.72;1820;606.67;3040;1013.33;104;34.67;4372696;1457565.38;1527.02;509.01;1207.95;402.65;395.62;131.87;1767.81;589.27;1186.31;395.44;176.48;58.83;50.18;16.73;0;469;156.33;2277.16;759.05;853.41;284.47;2323.84;774.61;806.67;268.89;1768.94;589.65;967.95;322.65;393.67;131.22;8743.33;8434;8996;9;3;9;3
RREDEEMERS;11;5;45.45;11696;1063.27;17;1.55;13;1.18;61;5.55;72;6.55;99;9;19;1.73;23.61;1278.91;140.68;77564;7051.27;52559;4778.09;25005;2273.18;633;57.55;2172;197.45;17057;1550.64;9634;875.82;7423;674.82;110;10;657;59.73;1601.07;145.55;915.64;83.24;13019;1183.55;10379;943.55;1355;123.18;16364436;1487676;4974.55;452.23;4403.04;400.28;1751.02;159.18;6312.37;573.85;4132.12;375.65;684.12;62.19;210.57;19.14;0;2103;191.18;7916.46;719.68;3212.15;292.01;7370.31;670.03;3758.12;341.65;5536.77;503.34;3436.78;312.43;2155.03;195.91;8636.73;8245.91;8980.82;51;4.64;38;3.45
ABSOLUTE CINEMA;5;0;0.00;4449;889.8;7;1.4;5;1;19;3.8;27;5.4;52;10.4;17;3.4;25.93;1290.4;146.06;32459;6491.8;24189;4837.8;8270;1654;286;57.2;750;150;6536;1307.2;4081;816.2;2455;491;50;10;225;45;586.66;117.33;406.15;81.23;3829;765.8;3582;716.4;689;137.8;6994511;1398902.25;1877.67;375.53;1823.96;364.79;911.78;182.36;2406.28;481.26;1945.19;389.04;261.96;52.39;88.64;17.73;0;838;167.6;3122.79;624.56;1490.63;298.13;3020.12;604.02;1593.31;318.66;2241.98;448.4;1456.99;291.4;914.43;182.89;8474.2;8107.2;8752.2;11;2.2;12;2.4
